id	DBI	TOMM7	TNX	NDUFB3	group
GSM4187530	9.845029756	11.14885828	11.27557644	9.749610813	AD
GSM4187532	10.85820455	12.65728442	11.57582849	10.67442319	AD
GSM4187533	9.427445712	10.41105825	10.85586238	9.748474425	AD
GSM4187534	9.971254142	11.71002826	11.21386718	9.81594517	Control
GSM4187538	9.356524283	10.70596082	10.99509394	9.568562143	AD
GSM4187541	9.76023629	11.09220847	10.53888791	9.667917622	Control
GSM4187543	10.59760132	12.26518151	11.49070043	10.25871841	AD
GSM4187546	9.019841868	11.34643018	11.00989213	9.596658655	AD
GSM4187547	9.248154811	10.89064938	10.77792145	9.508594015	AD
GSM4187548	9.812707143	11.03316391	11.33395444	9.973212911	AD
GSM4187549	8.566427424	10.49203258	11.21160873	9.830948133	AD
GSM4187550	9.459437681	10.98065192	10.73969423	9.43711721	Control
GSM4187551	9.645899892	11.0712022	10.87392461	9.576842886	Control
GSM4187552	9.060887705	10.73314285	11.23231983	9.79529611	AD
GSM4187556	9.59164302	10.97759198	10.67404902	9.805402269	AD
GSM4187557	9.038034667	11.0847084	11.25930549	9.663942042	AD
GSM4187558	8.876076442	10.6469037	12.49493068	10.20771425	AD
GSM4187560	8.87781703	11.1577957	10.94332907	9.40960279	AD
GSM4187561	9.396225923	11.36038628	10.87827986	9.501696279	AD
GSM4187562	9.420198292	10.57263744	10.8973656	9.35750215	Control
GSM4187563	8.869501431	10.09441379	10.98875023	9.573199713	Control
GSM4187565	9.145721617	10.7243299	11.37576532	9.353761987	AD
GSM4187567	9.348661856	11.23604249	11.30579639	9.574217475	Control
GSM4187569	9.179513277	10.55543224	10.8204028	9.642838219	AD
GSM4187570	9.760487823	11.41461066	11.03418936	9.532545025	AD
GSM4187572	9.544022356	11.09449799	11.13552876	9.723444103	AD
GSM4187573	9.729752563	10.42171743	11.48793026	9.743571043	AD
GSM4187576	9.664169388	11.2418825	11.6172958	10.03410047	Control
GSM4187577	8.917052896	11.0545381	10.62571493	8.94202806	AD
GSM4187578	8.581750435	9.601959473	10.69977815	8.804311938	AD
GSM4187580	9.584739517	10.9535008	11.18106819	9.782043519	Control
GSM4187581	9.898090885	11.47575155	11.66417236	9.860317229	AD
GSM4187582	8.222077718	10.05698556	9.672068142	8.548205196	AD
GSM4187583	8.605317225	9.974330019	10.11529102	9.101625183	AD
GSM4187585	9.257881058	11.20989498	10.67114237	9.574380026	AD
GSM4187586	9.342766462	11.10746027	11.42889313	9.524525594	AD
GSM4187588	9.225432982	10.40686562	10.77980175	9.3798269	AD
GSM4187589	9.198027142	11.08339098	11.08283945	9.516504931	AD
GSM4187590	9.877407827	11.0465262	11.19352335	10.03313532	AD
GSM4187591	9.137038698	10.77323044	11.20492296	9.495069838	AD
GSM4187592	9.541968009	11.2782998	11.94974139	9.72450835	Control
GSM4187594	9.466760643	10.9890714	11.92888619	9.445878305	AD
GSM4187595	9.590040447	11.09599778	11.08038155	9.629079281	Control
GSM4187596	9.381843475	10.84088438	11.32737959	9.633560117	Control
GSM4187598	9.63595261	11.59203068	11.34553925	9.432986899	AD
GSM4187600	9.326206367	11.03729384	11.315998	9.698662329	AD
GSM4187601	11.62472688	11.6194408	10.24678831	10.01832507	AD
GSM4187602	10.11505882	10.97901695	12.32052436	10.26640538	AD
GSM4187603	9.985979156	11.42011779	11.65753642	10.41862344	AD
GSM4187604	9.24800009	11.37904041	10.11678511	9.362935574	Control
GSM4187606	9.464489501	10.92119824	11.22447708	9.74598092	AD
GSM4187607	9.534629152	11.23436233	10.59509754	9.595153851	Control
GSM4187608	9.654410772	11.07430483	10.96029985	9.343206207	AD
GSM4187609	9.542310258	10.64347762	11.18516125	9.431938122	AD
GSM4187610	9.582126807	11.19995575	10.84994083	9.495913537	Control
GSM4187612	9.724860308	11.10041063	11.14034198	9.78479328	Control
GSM4187613	9.097871185	10.92945179	10.40391502	9.355750944	Control
GSM4187614	9.687047384	10.98294853	11.12634192	9.515554087	Control
GSM4187615	9.291671597	11.25715736	10.98081678	9.243783539	Control
GSM4187616	9.558452505	10.71216768	11.74963007	9.666306156	AD
GSM4187617	9.258361844	10.7240993	11.47647004	9.599701297	AD
GSM4187618	10.25378047	12.0578941	11.7146491	10.07580461	AD
GSM4187619	9.659707863	10.81038394	11.71416407	9.772974317	AD
GSM4187620	9.512758788	10.67969494	11.90757728	9.824614205	Control
GSM4187622	9.734711206	11.54097669	11.33631024	9.680008331	Control
GSM4187623	10.95219219	12.55090457	11.42083114	10.66997357	Control
GSM4187624	9.592389728	11.41788393	10.98283429	9.689886043	Control
GSM4187625	9.94679775	11.62309534	11.78101244	9.99084393	AD
GSM4187626	9.77568525	11.31499284	11.54818012	9.739156222	AD
GSM4187627	10.07310388	11.83831222	11.35291384	10.0970228	Control
GSM4187628	10.4474146	11.86107829	12.19328408	10.2735352	AD
GSM4187629	10.54514958	11.80759589	11.66963228	10.55121437	AD
GSM4187630	9.355507709	11.17438625	10.77939706	9.294005455	Control
GSM4187631	9.72905404	11.69144738	11.74964093	10.05474753	AD
GSM4187633	9.364783402	10.95147436	11.18276943	9.587707153	Control
GSM4187634	11.2805063	12.98499284	11.789726	10.76920097	AD
GSM4187636	10.53777082	11.89924959	11.53267652	9.979904927	AD
GSM4187637	9.895913036	10.95037317	12.00677519	10.24386458	Control
GSM4187638	9.713280516	12.11421673	11.99916154	9.892607544	Control
GSM4187639	9.742115539	11.67732292	12.01672257	9.749747508	Control
GSM4187640	10.83346998	12.72395486	11.65435629	10.68317171	Control
GSM4187641	10.7953471	12.36724846	10.49951853	10.13922922	Control
GSM4187642	10.56787908	12.11987523	12.19400961	10.68032894	AD
GSM4187643	9.997965016	11.61219964	11.49583582	10.13245846	Control
GSM4187644	9.78507277	11.92128926	11.51951661	9.852814869	Control
GSM4187646	9.804751369	11.67838001	11.14764092	9.563771831	AD
GSM4187647	9.946173916	11.71722962	11.10236001	9.601365459	Control
GSM4187648	11.02459163	12.93052257	11.51936283	10.78582588	Control
GSM4187649	10.07295912	11.13408753	10.68485155	9.917102845	Control
GSM4187650	9.740354852	11.4009089	11.04569341	9.373856881	Control
GSM4187651	9.52894487	11.63854647	10.87290223	9.700674705	AD
GSM4187652	9.802200752	11.18802453	11.61833461	9.604488805	Control
GSM4187654	9.388874313	11.18306311	11.46169521	9.442683567	Control
GSM4187655	9.546465062	11.62998392	11.12923233	9.51807708	Control
GSM4187656	9.93740077	11.23440094	11.41933638	9.611950477	Control
GSM4187657	9.582462756	11.13627535	11.71816019	9.662505322	Control
GSM4187659	10.24420109	10.95518331	11.47076535	10.03661027	AD
GSM4187660	9.779547045	11.09256277	11.69835852	9.753568487	AD
GSM4187661	9.295943259	11.39522264	12.36362719	9.591317574	Control
GSM4187662	9.932795421	11.40432506	11.71124428	10.18238364	AD
GSM4187663	9.354468998	11.44164076	11.41338121	9.501270811	Control
GSM4187664	11.62903838	13.2033745	11.94529925	11.49289187	AD
GSM4187665	9.813631103	11.46184566	11.62727647	9.926859841	Control
GSM4187666	9.995529017	11.51992897	11.936506	10.01593518	AD
GSM4187667	9.648642164	10.96140363	11.43832664	9.574645128	Control
GSM4187668	10.79821445	12.75942423	11.65418536	10.54337221	AD
GSM4187670	10.04930278	11.19055824	11.31690019	9.87817515	Control
GSM4187671	9.623236849	10.61130679	11.45625472	9.348659364	Control
GSM4187673	9.586354597	10.97423203	11.62725096	9.933805745	AD
GSM4187674	9.464258459	11.42657224	11.16984751	9.545488702	Control
GSM4187675	9.593452844	11.15336837	11.70583524	9.621803747	AD
GSM4187676	9.600496884	11.43715827	11.98488498	10.00090337	AD
GSM4187677	10.35521421	11.61138372	11.60884438	10.39270677	AD
GSM4187678	10.3833542	11.86118809	11.85100752	10.13660322	Control
GSM4187679	9.909217026	11.52820368	11.52211562	9.70611724	Control
GSM4187681	9.275825408	11.09928059	10.85326539	9.255905045	Control
GSM4187682	9.348597583	11.49682829	11.51475078	9.449788257	Control
GSM4187683	9.96494094	12.02472005	11.73398924	10.12733677	AD
GSM4187685	9.556580335	11.8294904	11.01175307	9.669989693	Control
GSM4187687	9.61284565	11.27199386	11.22716127	9.512051127	Control
GSM4187689	9.74924362	11.55721055	11.7762839	9.860928395	Control
GSM4187691	9.626089909	11.52630135	10.89282374	9.625398053	Control
GSM4187692	9.21849084	11.34819266	11.04880409	9.318130177	Control
GSM4187693	9.497603031	11.13386182	11.23109852	9.719825288	Control
GSM4187695	9.312494412	11.75283505	10.64103238	9.647264769	Control
GSM4187696	9.104993376	11.03302041	10.76405131	9.124481548	Control
GSM4187698	9.507882948	10.92860802	11.13500869	9.206253786	Control
GSM4187699	10.09643369	11.79229393	11.59950843	10.04210838	Control
GSM4187700	9.917746725	11.528448	11.41994411	9.84862922	Control
GSM4187701	9.439161114	11.82700724	10.93724575	9.365585222	Control
GSM4187702	9.303534993	10.87829279	10.69017983	9.259150218	Control
GSM4187703	9.312138607	11.34341278	11.16373386	9.425565446	Control
GSM4187704	9.99240974	12.0998516	11.15616974	9.755837895	AD
GSM4187705	9.362612923	11.34893811	11.35916528	9.564315286	Control
GSM4187707	9.670863723	11.77748919	10.99962465	9.658872482	Control
GSM4187708	9.570894252	11.76842807	11.60258701	9.598629083	AD
GSM4187711	9.880927116	11.4020357	11.96534437	9.78486104	Control
GSM4187713	9.22240455	11.05213573	11.16851526	9.176352867	Control
GSM4187714	9.562983989	10.9832964	11.32810767	9.553318303	Control
GSM4187716	9.577803437	11.80400218	11.37908943	9.828603157	Control
GSM4187717	9.196996726	11.42511599	10.81994338	9.285739168	Control
GSM4187718	9.64899676	11.03026857	10.76793265	9.115894489	Control
GSM4187720	9.32802082	11.3178482	10.51412482	9.101956219	Control
GSM4187721	9.69688529	11.82487908	10.88442251	9.429950348	AD
GSM4187723	9.238302256	10.66106202	11.88622183	9.728563886	AD
GSM4187724	9.007035002	10.9833204	11.08001961	9.335212976	AD
GSM4187725	9.161039803	10.79996816	10.97328461	9.204369898	AD
GSM4187726	9.281840628	10.93566671	11.09659981	8.986752003	AD
GSM4187728	9.440055052	11.23153532	11.7597568	9.740361144	AD
GSM4187729	9.762711145	11.29839904	10.9743984	9.608849445	Control
GSM4187730	9.498215552	11.62931688	10.41332396	9.53860836	AD
GSM4187731	9.630196031	11.21883442	10.50910147	9.411555994	Control
GSM4187733	9.788319885	11.61780964	10.80024924	9.829849065	Control
GSM4187734	9.522133265	11.49294247	11.78631598	9.722082358	AD
GSM4187735	10.42239576	12.14961179	11.05928656	9.881161448	AD
GSM4187736	9.524835066	11.78108075	10.96466866	9.464227359	Control
GSM4187737	9.573681131	10.93475248	11.09146088	9.462382257	AD
GSM4187738	9.789938769	11.28201215	11.1636653	9.393509982	AD
GSM4187739	11.27236027	12.83538531	11.73582431	11.24638063	Control
GSM4187740	11.21850508	12.9133327	11.95520725	11.17588496	Control
GSM4187741	9.61121676	11.34034673	10.83677397	9.620432037	Control
GSM4187742	9.51475351	11.0102353	10.73880888	9.343892519	Control
GSM4187743	10.08937748	11.88136404	11.46720263	9.84249229	AD
GSM4187745	11.32325538	12.97936353	11.99768582	11.06798563	Control
GSM4187747	9.508093288	11.38568553	11.18818158	9.69001635	Control
GSM4187749	9.19166667	11.65212924	10.91052814	9.317265927	Control
GSM4187750	9.690927251	11.55917387	11.5002241	9.523408209	AD
GSM4187751	9.231292023	10.98690688	10.83330966	9.22911359	Control
GSM4187753	10.79466511	12.80024363	11.68318628	10.51716351	Control
GSM4187754	11.13342115	12.76760397	11.94870938	11.26664673	AD
GSM4187755	9.331052986	11.2337566	10.85738732	9.457848631	Control
GSM4187756	9.985002826	12.29448067	11.33449958	9.960854348	Control
GSM4187757	10.12353031	12.41808313	11.32424352	10.11857736	AD
GSM4187758	9.297193886	11.070544	11.33718415	9.617263813	AD
GSM4187761	10.49687341	12.14564462	11.34778978	10.23490659	Control
GSM4187762	10.19196412	12.07644241	11.55601874	10.21401984	AD
GSM4187764	9.513237568	10.87654649	10.84987226	9.572051752	AD
GSM4187766	9.620699915	11.60184174	11.17301576	9.874854775	AD
GSM4187767	9.552687257	10.81170866	11.12135814	9.464170947	Control
GSM4187768	9.190102826	10.98413395	11.0676414	9.213108073	Control
GSM4187769	10.83951431	13.0895046	11.28653515	10.97041145	Control
GSM4187771	10.07021209	11.48822776	11.29490804	9.710551882	Control
GSM4187772	9.597928434	11.18994317	11.84857037	9.666339192	AD
